Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1378,"parelhas,rio grande do norte,brazil",,parelhas,rio grande do norte,brazil,-6.688,-36.658
1379,"goianesia,goias,brazil",,goianesia,goias,brazil,-15.317,-49.117
1380,"boquim,sergipe,brazil",,boquim,sergipe,brazil,-11.147,-37.621
1381,"sao miguel arcanjo,sao paulo,brazil",,sao miguel arcanjo,sao paulo,brazil,-23.878,-47.997
1382,"carmo do rio claro,minas gerais,brazil",,carmo do rio claro,minas gerais,brazil,-20.972,-46.119
1383,"analandia,sao paulo,brazil",,analandia,sao paulo,brazil,-22.126,-47.663
1384,"sao mamede,paraiba,brazil",,sao mamede,paraiba,brazil,-6.927,-37.096
1385,"piratini,rio grande do sul,brazil",,piratini,rio grande do sul,brazil,-31.448,-53.104
1386,"brumadinho,minas gerais,brazil",,brumadinho,minas gerais,brazil,-20.143,-44.2
1387,"ilicinea,minas gerais,brazil",,ilicinea,minas gerais,brazil,-20.936,-45.833
1388,"canavieiras,bahia,brazil",,canavieiras,bahia,brazil,-15.675,-38.947
1389,"mucurici,espirito santo,brazil",,mucurici,espirito santo,brazil,-18.093,-40.516
1390,"palhoca,santa catarina,brazil",,palhoca,santa catarina,brazil,-27.645,-48.668
1391,"prudentopolis,parana,brazil",,prudentopolis,parana,brazil,-25.213,-50.978
1392,"camaqua,rio grande do sul,brazil",,camaqua,rio grande do sul,brazil,-30.851,-51.812
1393,"mauriti,ceara,brazil",,mauriti,ceara,brazil,-7.389,-38.774
1394,"itabaiana,sergipe,brazil",,itabaiana,sergipe,brazil,-10.685,-37.425
1395,"acari,rio grande do norte,brazil",,acari,rio grande do norte,brazil,-6.436,-36.639
1396,"puno,puno,peru",,puno,puno,peru,-15.8422,-70.0199
1397,"lucelia,sao paulo,brazil",,lucelia,sao paulo,brazil,-21.72,-51.019
1398,"aracuai,minas gerais,brazil",,aracuai,minas gerais,brazil,-16.85,-42.07
1399,"janauba,minas gerais,brazil",,janauba,minas gerais,brazil,-15.803,-43.309
1400,"ipira,bahia,brazil",,ipira,bahia,brazil,-12.158,-39.737
1401,"rio das pedras,sao paulo,brazil",,rio das pedras,sao paulo,brazil,-22.843,-47.606
1402,"lajinha,minas gerais,brazil",,lajinha,minas gerais,brazil,-20.151,-41.623
1403,"sao bento do sapucai,sao paulo,brazil",,sao bento do sapucai,sao paulo,brazil,-22.689,-45.731
1404,"encantado,rio grande do sul,brazil",,encantado,rio grande do sul,brazil,-29.236,-51.87
1405,"nova alianca,sao paulo,brazil",,nova alianca,sao paulo,brazil,-21.016,-49.496
1406,"itambacuri,minas gerais,brazil",,itambacuri,minas gerais,brazil,-18.031,-41.685
1407,"canelinha,santa catarina,brazil",,canelinha,santa catarina,brazil,-27.265,-48.768
1408,"valparaiso,sao paulo,brazil",,valparaiso,sao paulo,brazil,-21.228,-50.868
1409,"joaquim nabuco,pernambuco,brazil",,joaquim nabuco,pernambuco,brazil,-8.624,-35.533
1410,"bom jardim,pernambuco,brazil",,bom jardim,pernambuco,brazil,-7.796,-35.587
1411,"campanha,minas gerais,brazil",,campanha,minas gerais,brazil,-21.836,-45.401
1412,"coaraci,bahia,brazil",,coaraci,bahia,brazil,-14.641,-39.551
1413,"pratapolis,minas gerais,brazil",,pratapolis,minas gerais,brazil,-20.745,-46.861
1414,"guapiacu,sao paulo,brazil",,guapiacu,sao paulo,brazil,-20.795,-49.22
1415,"olivenca,alagoas,brazil",,olivenca,alagoas,brazil,-9.519,-37.191
1416,"ipaussu,sao paulo,brazil",,ipaussu,sao paulo,brazil,-23.057,-49.626
1417,"ceara mirim,rio grande do norte,brazil",,ceara mirim,rio grande do norte,brazil,-5.634,-35.426
1418,"santa cruz,rio grande do norte,brazil",,santa cruz,rio grande do norte,brazil,-6.229,-36.023
1419,"piracuruca,piaui,brazil",,piracuruca,piaui,brazil,-3.928,-41.709
1420,"cerquilho,sao paulo,brazil",,cerquilho,sao paulo,brazil,-23.165,-47.744
1421,"conceicao do mato dentro,minas gerais,brazil",,conceicao do mato dentro,minas gerais,brazil,-19.037,-43.425
1422,"conceicao de macabu,rio de janeiro,brazil",,conceicao de macabu,rio de janeiro,brazil,-22.085,-41.868
1423,"capao bonito,sao paulo,brazil",,capao bonito,sao paulo,brazil,-24.006,-48.349
1424,"nhandeara,sao paulo,brazil",,nhandeara,sao paulo,brazil,-20.694,-50.038
1425,"suresnes,île-de-france,france",,suresnes,île-de-france,france,48.87143,2.22929
