country_code,player,rank,match,tour,round,player_id,scrape_time,date_of_birth,height_inches,weight_lbs,hand,exact_age,age,country
CYP,Marcos Baghdatis,NA,41,ATP,1,82,8/23/2014 14:46,6/17/1985,70.078778,181,R,29.18275154,29,Cypress
CZE,Radek Stepanek,NA,15,ATP,1,30,8/23/2014 14:46,11/27/1978,72.834685,167,R,35.73716632,35,Czech Republic
CZE,Tomas Berdych,6,33,ATP,1,65,8/23/2014 14:46,9/17/1985,77.165396,200,R,28.93086927,28,Czech Republic
CZE,Jiri Vesely,NA,17,ATP,1,34,8/23/2014 14:46,7/10/1993,77.952798,198,L,21.11978097,21,Czech Republic
CZE,Lukas Rosol,29,29,ATP,1,57,8/23/2014 14:46,7/24/1985,77.165396,178,R,29.08145106,29,Czech Republic
DOM,Victor Estrella Burgos,NA,30,ATP,1,59,8/23/2014 14:46,8/2/1980,68.110273,170,R,34.05612594,34,Dominican Republic
ESP,Albert Ramos-Vinolas,NA,63,ATP,1,125,8/23/2014 14:46,1/17/1988,74.015788,177,L,26.5982204,26,Spain
ESP,David Ferrer,4,48,ATP,1,96,8/23/2014 14:46,4/2/1982,68.897675,160,R,32.39151266,32,Spain
ESP,Pere Riba,NA,58,ATP,1,115,8/23/2014 14:46,4/7/1988,72.047283,174,R,26.37645448,26,Spain
ESP,Daniel Gimeno-Traver,NA,6,ATP,1,12,8/23/2014 14:46,8/7/1985,72.047283,176,R,29.04312115,29,Spain
ESP,Pablo Carreno Busta,NA,11,ATP,1,21,8/23/2014 14:46,7/12/1991,74.015788,163,R,23.1156742,23,Spain
ESP,Feliciano Lopez,19,37,ATP,1,73,8/23/2014 14:46,9/20/1981,74.015788,187,L,32.92265572,32,Spain
ESP,Albert Montanes,NA,28,ATP,1,55,8/23/2014 14:46,11/26/1980,68.897675,155,R,33.73853525,33,Spain
ESP,Pablo Andujar,NA,26,ATP,1,51,8/23/2014 14:46,1/23/1986,70.86618,167,R,28.58042437,28,Spain
ESP,Marcel Granollers,NA,62,ATP,1,124,8/23/2014 14:46,4/12/1986,74.80319,169,R,28.36413415,28,Spain
ESP,Roberto Bautista Agut,17,60,ATP,1,120,8/23/2014 14:46,4/14/1988,72.047283,168,R,26.35728953,26,Spain
ESP,Tommy Robredo,16,24,ATP,1,48,8/23/2014 14:46,5/1/1982,70.86618,165,R,32.31211499,32,Spain
ESP,Fernando Verdasco,31,13,ATP,1,25,8/23/2014 14:46,11/15/1983,74.015788,194,L,30.770705,30,Spain
ESP,Guillermo Garcia-Lopez,28,4,ATP,1,8,8/23/2014 14:46,6/4/1983,74.015788,180,R,31.21971253,31,Spain
FIN,Jarkko Nieminen,NA,61,ATP,1,122,8/23/2014 14:46,7/23/1981,72.834685,172,L,33.08418891,33,Finland
FRA,Adrian Mannarino,NA,58,ATP,1,116,8/23/2014 14:46,6/29/1988,72.047283,152,L,26.14921287,26,France
FRA,Benoit Paire,NA,12,ATP,1,23,8/23/2014 14:46,5/8/1989,77.165396,176,R,25.29226557,25,France
FRA,Kenny De Schepper,NA,40,ATP,1,79,8/23/2014 14:46,5/29/1987,79.921303,225,L,27.23613963,27,France
FRA,Gael Monfils,20,53,ATP,1,105,8/23/2014 14:46,9/1/1986,75.984293,177,R,27.97535934,27,France
FRA,Jeremy Chardy,30,20,ATP,1,40,8/23/2014 14:46,2/12/1987,74.015788,165,R,27.52635181,27,France
FRA,Gilles Simon,26,45,ATP,1,89,8/23/2014 14:46,12/27/1984,72.047283,154,R,29.65366188,29,France
FRA,Jo-Wilfried Tsonga,9,9,ATP,1,17,8/23/2014 14:46,4/17/1985,74.015788,200,R,29.34976044,29,France
FRA,Nicolas Mahut,NA,18,ATP,1,36,8/23/2014 14:46,1/21/1982,74.80319,176,R,32.58590007,32,France
FRA,Richard Gasquet,12,56,ATP,1,112,8/23/2014 14:46,6/18/1986,72.834685,165,R,28.18069815,28,France
FRA,Julien Benneteau,24,12,ATP,1,24,8/23/2014 14:46,12/20/1981,72.834685,174,R,32.67351129,32,France
FRA,Paul-Henri Mathieu,NA,2,ATP,1,4,8/23/2014 14:46,1/12/1982,72.834685,163,R,32.61054073,32,France
FRA,Michael Llodra,NA,6,ATP,1,11,8/23/2014 14:46,5/18/1980,74.80319,176,L,34.2642026,34,France
FRA,Edouard Roger-Vasselin,NA,24,ATP,1,47,8/23/2014 14:46,11/28/1983,74.015788,165,R,30.73511294,30,France
GBR,Andy Murray,8,16,ATP,1,32,8/23/2014 14:46,5/15/1987,74.80319,185,R,27.27446954,27,Great Britain
GER,Jan-Lennard Struff,NA,7,ATP,1,14,8/23/2014 14:46,4/25/1990,77.165396,192,R,24.32854209,24,Germany
GER,Matthias Bachinger,NA,15,ATP,1,29,8/23/2014 14:46,4/2/1987,74.015788,183,R,27.39219713,27,Germany
GER,Dustin Brown,NA,47,ATP,1,94,8/23/2014 14:46,12/8/1984,77.165396,172,R,29.70568104,29,Germany
