;Label;Modularity Class;City;State;Country;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree;;;;
;universidade veiga de almeida;instituition;rio de janeiro;rio de janeiro;brazil;29;0;29;102;102;0;;;;
;universidad nacional de la plata;instituition;la plata;buenos aires;argentina;30;0;30;102;102;0;;;;
;centro universitario da fundacao educacional de barretos;instituition;barretos;sao paulo;brazil;42;0;42;102;102;0;;;;
;fundacao educacional de bauru;instituition;bauru;sao paulo;brazil;37;0;37;101;101;0;;;;
;centro universitario franciscano;instituition;santa maria;rio grande do sul;brazil;39;0;39;101;101;0;;;;
;faculdade casper libero;instituition;sao paulo;sao paulo;brazil;32;0;32;99;99;0;;;;
;universidade severino sombra;instituition;vassouras;rio de janeiro;brazil;61;0;61;99;99;0;;;;
;centro de ensino unificado de brasilia;instituition;brasilia;federal district;brazil;46;0;46;98;98;0;;;;
;associacao instituto nacional de matematica pura e aplicada;instituition;rio de janeiro;rio de janeiro;brazil;57;0;57;97;97;0;;;;
;colegio dom bosco;instituition;curitiba;parana;brazil;46;0;46;97;97;0;;;;
;faculdade de tecnologia de sao paulo;instituition;sao paulo;sao paulo;brazil;21;0;21;96;96;0;;;;
;escola nacional de ciencias estatisticas;instituition;rio de janeiro;rio de janeiro;brazil;11;0;11;95;95;0;;;;
;faculdade de filosofia ciencias e letras de ribeirao preto;instituition;ribeirao preto;sao paulo;brazil;49;0;49;95;95;0;;;;
;universidade regional do cariri;instituition;crato;ceara;brazil;33;0;33;95;95;0;;;;
;faculdade de medicina de ribeirao preto usp;instituition;ribeirao preto;sao paulo;brazil;55;0;55;93;93;0;;;;
;universidade santa cecilia;instituition;santos;sao paulo;brazil;26;0;26;92;92;0;;;;
;universidade vale do rio doce;instituition;governador valadares;minas gerais;brazil;39;0;39;92;92;0;;;;
;colegio santa cruz;instituition;sao paulo;sao paulo;brazil;12;0;12;91;91;0;;;;
;universidade potiguar;instituition;natal;rio grande do norte;brazil;30;0;30;91;91;0;;;;
;centro universitario de rio preto;instituition;sao jose do rio preto;sao paulo;brazil;38;0;38;90;90;0;;;;
