"city";"uf";"country";"latitude";"longitude";"count"
"Anta Gorda";"rio grande do sul";"brasil";-28.97;-52.005;7
"Nice";"Provence-Alpes-Côte d'Azur";"France";43.70313;7.26608;7
"Maracaibo";"Estado Zulia";"Venezuela";10.63167;-71.64056;7
"Jaguaretama";"ceara";"brasil";-5.613;-38.767;7
"Formosa do Oeste";"parana";"brasil";-24.293;-53.313;7
"Pio IX";"piaui";"brasil";-6.838;-40.579;7
"Dionísio Cerqueira";"santa catarina";"brasil";-26.255;-53.64;7
"Cascalho Rico";"minas gerais";"brasil";-18.576;-47.877;7
"Bom Jesus do Galho";"minas gerais";"brasil";-19.829;-42.316;7
"Orléans";"Centre";"France";47.90289;1.90389;7
"São João do Piauí";"piaui";"brasil";-8.358;-42.247;7
"Lajes";"rio grande do norte";"brasil";-5.7;-36.245;7
"Tanquinho";"bahia";"brasil";-11.979;-39.104;7
"Tacuarembó";"Tacuarembó";"Uruguay";-31.73333;-55.98333;7
"Maracás";"bahia";"brasil";-13.441;-40.431;7
"Nova Soure";"bahia";"brasil";-11.233;-38.483;7
"Irapuã";"sao paulo";"brasil";-21.279;-49.409;7
"Sucre";"Chuquisaca";"Bolivia";-19.03332;-65.26274;7
"Magda";"sao paulo";"brasil";-20.644;-50.226;7
"Itapemirim";"espirito Santo";"brasil";-21.011;-40.834;7
"Califórnia";"parana";"brasil";-23.65;-51.355;7
"Arujá";"sao paulo";"brasil";-23.396;-46.321;7
"Maracanaú";"ceara";"brasil";-3.877;-38.626;7
"Dom Feliciano";"rio grande do sul";"brasil";-30.704;-52.108;7
"Karlsruhe";"Baden-Württemberg Region";"Germany";49.00937;8.40444;7
"Santarém";"Santarém";"Portugal";39.23333;-8.68333;7
"Imaruí";"santa catarina";"brasil";-28.341;-48.82;7
"Ubatuba";"sao paulo";"brasil";-23.434;-45.071;7
"Canto do Buriti";"piaui";"brasil";-8.11;-42.944;7
"Ibiraci";"minas gerais";"brasil";-20.462;-47.122;7
"Guantánamo";"Guantánamo";"Cuba";20.14444;-75.20917;7
"Centralina";"minas gerais";"brasil";-18.584;-49.199;7
"São Bernardo";"maranhao";"brasil";-3.361;-42.418;7
"Itiúba";"bahia";"brasil";-10.691;-39.853;7
"Santana do Matos";"rio grande do norte";"brasil";-5.958;-36.656;7
"Kolkata";"Bengal";"India";22.56263;88.36304;7
"Santander";"Cantabria";"Spain";43.46472;-3.80444;7
"Piraquara";"parana";"brasil";-25.442;-49.063;7
"Palermo";"Sicily";"Italy";38.13205;13.33561;7
"Mairi";"bahia";"brasil";-11.711;-40.149;7
"Dom Pedro";"maranhao";"brasil";-5.033;-44.436;7
"Graz";"Styria";"Austria";47.06667;15.45;7
"Bonito de Santa Fé";"paraiba";"brasil";-7.313;-38.515;7
"Apiaí";"sao paulo";"brasil";-24.509;-48.843;7
