"id";"name";"name_ascii";"abbr";"city";"state";"country";"latitude";"longitude"
240;"faculdade campo grande";"faculdade campo grande";"";"campo grande";"mato grosso do sul";"brasil";-20.443;"-54.646"
241;"faculdade campo real";"faculdade campo real";"";"guarapuava";"parana";"brasil";-25.395;"-51.458"
242;"faculdade da aldeia de carapicuíba";"faculdade da aldeia de carapicuiba";"";"carapicuiba";"sao paulo";"brasil";-23.523;"-46.836"
243;"faculdade do norte goiano";"faculdade do norte goiano";"";"porangatu";"goias";"brasil";-13.441;"-49.149"
244;"faculdade alfa";"faculdade alfa";"";"praia grande";"sao paulo";"brasil";-24.006;"-46.403"
245;"faculdade de jussara";"faculdade de jussara";"";"jussara";"goias";"brasil";-15.865;"-50.868"
186;"faculdade entre rios do piauí";"faculdade entre rios do piaui";"";"teresina";"piaui";"brasil";-5.089;"-42.802"
187;"faculdade táhirih";"faculdade tahirih";"";"manaus";"amazonas";"brasil";-3.102;"-60.025"
188;"faculdade cearense";"faculdade cearense";"";"fortaleza";"ceara";"brasil";-3.717;"-38.543"
198;"universidade estadual de campinas";"universidade estadual de campinas";"unicamp";"campinas";"sao paulo";"brasil";-22.906;"-47.061"
190;"faculdade presidente antônio carlos de elói mendes";"faculdade presidente antonio carlos de eloi mendes";"";"eloi mendes";"minas gerais";"brasil";-21.61;"-45.565"
252;"faculdade ação";"faculdade acao";"";"rio do sul";"santa catarina";"brasil";-27.214;"-49.643"
253;"faculdade madre tereza";"faculdade madre tereza";"";"santana";"amapa";"brasil";-0.058;"-51.182"
255;"instituto superior de educação de guaratuba";"instituto superior de educacao de guaratuba";"";"guaratuba";"parana";"brasil";-25.883;"-48.575"
256;"universidade federal de são carlos";"universidade federal de sao carlos";"ufscar";"sao carlos";"sao paulo";"brasil";-22.018;"-47.891"
257;"faculdades futurão";"faculdades futurao";"";"ararangua";"santa catarina";"brasil";-28.935;"-49.486"
258;"faculdade de guararapes";"faculdade de guararapes";"";"guararapes";"sao paulo";"brasil";-21.261;"-50.643"
260;"faculdade politécnica de campinas";"faculdade politecnica de campinas";"";"campinas";"sao paulo";"brasil";-22.906;"-47.061"
261;"faculdades atibaia";"faculdades atibaia";"";"atibaia";"sao paulo";"brasil";-23.117;"-46.55"
262;"faculdade de almenara";"faculdade de almenara";"";"almenara";"minas gerais";"brasil";-16.184;"-40.694"
263;"faculdade anhanguera de passo fundo";"faculdade anhanguera de passo fundo";"";"passo fundo";"rio grande do sul";"brasil";-28.263;"-52.407"
264;"faculdade anhanguera de pelotas";"faculdade anhanguera de pelotas";"";"pelotas";"rio grande do sul";"brasil";-31.772;"-52.343"
266;"faculdade avantis";"faculdade avantis";"";"balneario camboriu";"santa catarina";"brasil";-26.991;"-48.635"
267;"instituto superior de educação de santos dumont";"instituto superior de educacao de santos dumont";"";"santos dumont";"minas gerais";"brasil";-21.457;"-43.553"
269;"instituto superior de educação de tupi paulista";"instituto superior de educacao de tupi paulista";"";"tupi paulista";"sao paulo";"brasil";-21.381;"-51.571"
