url,rank,country,presence,impact,openness,excellence
http://www.reading.ac.uk/,404,uk,514,528,1202,382
http://www.um.es/,405,es,462,793,179,596
http://www.sussex.ac.uk/,406,uk,507,623,1050,360
http://www.wfu.edu/,407,us,759,632,1377,236
http://www.ut.ee/,408,ee,127,606,969,585
http://www.csu.edu.cn/,409,cn,450,217,3938,335
http://www.niu.edu/,410,us,571,317,1066,720
http://www.mtu.edu/,411,us,413,294,1199,779
http://www.vub.ac.be/,412,be,1015,463,1254,354
http://www.u-psud.fr/,413,fr,1645,728,1538,91
http://www.umaryland.edu/,414,us,1801,746,881,157
http://www.umbc.edu/,415,us,588,305,1793,542
http://www.abdn.ac.uk/,416,uk,624,511,2107,249
http://www.ttu.edu/,417,us,441,442,1424,478
http://www.vutbr.cz/,418,cz,440,699,20,1067
http://www.njnu.edu.cn/,419,cn,2263,51,2526,890
http://www.upm.edu.my/,420,my,170,1088,158,591
http://www.strath.ac.uk/,421,uk,764,729,546,415
http://www.rmit.edu.au/,422,au,1195,456,540,589
http://www.uc3m.es/,423,es,327,681,315,735
http://www.uni-potsdam.de/,424,de,706,454,1109,516
http://www.sdsu.edu/,425,us,1435,279,1835,441
http://www.tku.edu.tw/,426,tw,111,574,368,996
http://www.sdu.dk/,427,dk,276,949,928,334
http://www.bme.hu/,428,hu,477,493,434,828
http://www.nchu.edu.tw/,429,tw,291,1266,87,528
http://www.swu.edu.cn/,430,cn,579,339,840,844
http://www.unicatt.it/,431,it,1711,1003,98,373
http://www.skku.edu/,432,kr,472,637,2281,223
http://www.uark.edu/,433,us,597,475,828,632
http://www.ohsu.edu/,434,us,1375,767,1245,173
http://www.bristol.ac.uk/,435,uk,1331,814,1943,83
http://www.univ-lyon1.fr/,436,fr,609,745,1720,225
http://www.unizg.hr/,437,hr,386,803,477,561
http://www.ujf-grenoble.fr/,438,fr,1247,863,1554,108
http://www.ucdenver.edu/,439,us,828,892,1774,114
http://www.surrey.ac.uk/,440,uk,985,526,868,496
http://portal.tugraz.at/,441,at,323,562,1051,613
http://www.uco.es/,442,es,190,785,608,630
http://www.exeter.ac.uk/,443,uk,1315,731,923,289
http://www.siu.edu/,444,us,1103,627,296,633
http://www.utas.edu.au/,445,au,1008,836,312,469
http://www.kobe-u.ac.jp/,446,jp,798,1086,197,434
http://www.ens.fr/,447,fr,1290,682,1194,284
http://www.unican.es/,448,es,1345,509,636,570
http://www.uea.ac.uk/,449,uk,1413,607,1248,319
http://www.bjmu.edu.cn/,450,cn,1213,601,878,432
http://www.uva.es/,451,es,1069,523,294,801
http://www.uniovi.es/,452,es,112,1169,579,460
http://www.dundee.ac.uk/,453,uk,703,583,1777,345
http://www.cumt.edu.cn/,454,cn,723,208,1992,821
http://www.unisi.it/,455,it,1660,658,626,417
http://www.uri.edu/,456,us,1119,507,451,735
http://www.canterbury.ac.nz/,457,nz,702,847,417,535
http://tulane.edu/,458,us,1549,364,1985,395
http://www.otago.ac.nz/,459,nz,1021,846,1028,282
http://www.ucc.ie/,460,ie,796,599,1366,415
http://www.univ-lorraine.fr/,461,fr,726,1005,929,280
http://www.sun.ac.za/,462,za,757,1120,214,454
http://www.postech.ac.kr/,463,kr,224,738,2345,312
http://www.nankai.edu.cn/,464,cn,1780,303,2821,321
http://www.kent.ac.uk/,465,uk,403,724,722,623
http://www.umt.edu/,466,us,1139,565,308,788
http://www.uvigo.es/,467,es,251,783,875,594
http://www.unitn.it/,468,it,978,771,723,433
http://www.uta.edu/,469,us,1988,529,734,487
http://www.ua.pt/,470,pt,555,1305,175,437
http://www.szu.edu.cn/,471,cn,452,155,1933,1185
http://www.qub.ac.uk/,472,uk,1620,540,1627,312
http://www.unal.edu.co/,473,co,388,818,100,989
http://cu.edu.eg/,474,eg,760,449,1236,633
http://www.utu.fi/,475,fi,451,823,1329,377
http://www.dlut.edu.cn/,476,cn,601,774,1979,262
http://www.uni-konstanz.de/,477,de,1106,763,404,581
http://www.bg.ac.rs/,478,rs,569,1118,493,409
http://www.utdallas.edu/,479,us,1690,584,1507,316
http://www.usm.my/,480,my,572,1175,332,442
http://www.ufba.br/,481,br,457,765,111,1028
http://www.chula.ac.th/,482,th,632,578,1091,602
http://www.univ-paris5.fr/,483,fr,1384,569,2972,142
http://www.univ-paris13.fr/,484,fr,865,257,1871,789
http://www.mun.ca/,485,ca,849,580,892,605
http://www.ucr.ac.cr/,486,cr,310,636,113,1322
http://www.latrobe.edu.au/,487,au,1440,715,441,548
http://web.uniroma2.it/,488,it,807,940,1357,259
http://www.uned.es/,489,es,698,445,164,1346
http://www.uni-trier.de/,490,de,7,398,1883,1280
http://www.uta.fi/,491,fi,857,887,363,584
http://www.bit.edu.cn/,492,cn,2804,104,3801,530
http://www.unict.it/,493,it,716,957,849,385
http://web.up.ac.za/,494,za,404,1247,162,608
http://www.uma.es/,495,es,1123,640,485,680
http://unice.fr/,496,fr,792,722,1279,429
http://www.slu.edu/,497,us,1424,343,2263,475
http://www.unideb.hu/,498,hu,225,1403,99,694
http://www.iit.edu/,499,us,1460,412,844,752
http://www.tut.fi/,500,fi,643,737,421,783
http://www.uwyo.edu/,501,us,1283,530,977,593
http://www.unr.edu/,502,us,908,533,1111,619
http://www.amu.edu.pl/,503,pl,512,639,269,1059
http://www.birmingham.ac.uk/,504,uk,540,1198,2164,106
http://www.cmu.ac.th/,505,th,242,619,859,888
http://www.hiroshima-u.ac.jp/,506,jp,967,701,1438,388
http://www.metu.edu.tr/,507,tr,1244,930,364,519
http://www.binghamton.edu/,508,us,37,714,1798,740
http://www.unifr.ch/,509,ch,176,707,1261,720
http://www.ntou.edu.tw/,510,tw,547,761,327,896
http://www.tju.edu.cn/,511,cn,1504,433,2311,394
http://www.udg.edu/,512,es,101,1294,318,730
http://www.newcastle.edu.au/,513,au,1334,1059,575,362
http://www.unige.it/,514,it,874,868,1550,320
http://www.msstate.edu/,515,us,956,469,1417,656
http://www.ryerson.ca/,516,ca,1487,473,944,712
http://www.uniandes.edu.co/,517,co,1376,613,393,830
http://www.ugm.ac.id/,518,id,295,534,16,2137
http://www.tu-dortmund.de/,519,de,965,1036,534,462
http://www.albany.edu/,520,us,1616,487,1776,450
http://www.mq.edu.au/,521,au,1414,575,1821,396
http://www.pw.edu.pl/,522,pl,496,807,744,702
http://www.american.edu/,523,us,969,300,839,1240
http://www.uni-graz.at/,524,at,294,822,1330,598
http://www.uclm.es/,525,es,1673,703,673,569
http://www.wmich.edu/,526,us,1756,351,436,1165
http://www.nmsu.edu/,527,us,943,430,1385,767
http://www.jiangnan.edu.cn/,528,cn,2147,397,1038,739
http://www.uff.br/,529,br,866,855,117,978
http://www.calpoly.edu/,530,us,999,532,181,1285
http://www.unipr.it/,531,it,464,1463,293,492
http://www.olemiss.edu/,532,us,1143,650,1788,410
http://www.hi.is/,533,is,318,755,1708,582
http://www.xidian.edu.cn/,534,cn,1190,280,3400,538
http://nau.edu/,535,us,248,478,1649,932
http://www.hkbu.edu.hk/,536,hk,52,999,1621,622
http://www.bgsu.edu/,537,us,1363,518,292,1083
http://www.mcw.edu/,538,us,55,1017,2918,355
http://spbu.ru/,539,ru,707,840,328,876
http://www.uaf.edu/,540,us,682,550,1856,610
http://www.unc.edu.ar/,541,ar,236,1074,190,1004
http://www.unimib.it/,542,it,1088,1478,384,333
