Id;Label;rank;Modularity Class;City;State;Country;Latitude;Longitude;In-Degree;Out-Degree;Degree;Weighted Degree;Weighted In-Degree;Weighted Out-Degree
5601;newcastle;;city;newcastle;new south wales;australia;-3.292.715;15.177.647;0;0;0;0.0;0.0;0.0
6227;perth;;city;perth;western australia;australia;-3.195.224;1.158.614;0;0;0;0.0;0.0;0.0
6905;nowra;;city;nowra;new south wales;australia;-3.488.422;15.060.036;0;0;0;0.0;0.0;0.0
6945;toowoomba;;city;toowoomba;queensland;australia;-2.756.056;15.195.386;0;0;0;0.0;0.0;0.0
7133;maryborough;;city;maryborough;queensland;australia;-2.554.073;15.270.493;0;0;0;0.0;0.0;0.0
7383;hobart;;city;hobart;tasmania;australia;-4.287.936;14.732.941;0;0;0;0.0;0.0;0.0
2181;linz;;city;linz;upper austria;austria;4.830.639;1.428.611;0;0;0;0.0;0.0;0.0
3586;graz;;city;graz;styria;austria;4.706.667;15.45;0;0;0;0.0;0.0;0.0
3907;vienna;;city;vienna;vienna;austria;4.820.849;1.637.208;0;0;0;0.0;0.0;0.0
4016;wiener neustadt;;city;wiener neustadt;lower austria;austria;47.8;16.25;0;0;0;0.0;0.0;0.0
4112;innsbruck;;city;innsbruck;tyrol;austria;4.726.266;1.139.454;0;0;0;0.0;0.0;0.0
4704;amstetten;;city;amstetten;lower austria;austria;481.229;1.487.206;0;0;0;0.0;0.0;0.0
5019;kufstein;;city;kufstein;tyrol;austria;4.758.333;1.216.667;0;0;0;0.0;0.0;0.0
5207;salzburg;;city;salzburg;salzburg;austria;4.779.941;1.304.399;0;0;0;0.0;0.0;0.0
6757;steyr;;city;steyr;upper austria;austria;4.804.274;1.442.127;0;0;0;0.0;0.0;0.0
7253;villach;;city;villach;carinthia;austria;4.661.028;1.385.583;0;0;0;0.0;0.0;0.0
6385;baku;;city;baku;baki;azerbaijan;4.037.767;4.989.201;0;0;0;0.0;0.0;0.0
5938;rangpur;;city;rangpur;rangpur division;bangladesh;2.574.664;8.925.166;0;0;0;0.0;0.0;0.0
7363;comilla;;city;comilla;chittagong;bangladesh;2.346.186;9.118.503;0;0;0;0.0;0.0;0.0
2142;brest;;city;brest;brestskaya voblastsÊ_;belarus;5.209.755;2.368.775;0;0;0;0.0;0.0;0.0
3945;minsk;;city;minsk;minsk;belarus;53.9;2.756.667;0;0;0;0.0;0.0;0.0
6330;gomel;;city;gomel;homyelÊ_skaya voblastsÊ_;belarus;524.345;309.754;0;0;0;0.0;0.0;0.0
7266;pinsk;;city;pinsk;brestskaya voblastsÊ_;belarus;521.229;260.951;0;0;0;0.0;0.0;0.0
7794;dobrush;;city;dobrush;homyelÊ_skaya voblastsÊ_;belarus;524.089;313.237;0;0;0;0.0;0.0;0.0
631;katholieke universiteit leuven;;instituition;leuven;flanders;belgium;5.087.959;470.093;0;0;0;0.0;0.0;0.0
739;ghent university;;instituition;gent;flanders;belgium;51.05;371.667;0;0;0;0.0;0.0;0.0
812;universite libre de bruxelles;;instituition;brussels;brussels capital region;belgium;5.085.045;434.878;0;0;0;0.0;0.0;0.0
1746;ghent university;;instituition;gent;flanders;belgium;51.05;371.667;0;0;0;0.0;0.0;0.0
2495;londerzeel;;city;londerzeel;flanders;belgium;5.100.468;430.304;0;0;0;0.0;0.0;0.0
2678;kortrijk;;city;kortrijk;flanders;belgium;5.082.803;326.487;0;0;0;0.0;0.0;0.0
3918;arlon;;city;arlon;walloon region;belgium;4.968.333;581.667;0;0;0;0.0;0.0;0.0
4007;dendermonde;;city;dendermonde;flanders;belgium;5.102.869;410.106;0;0;0;0.0;0.0;0.0
4032;leuven;;city;leuven;flanders;belgium;5.087.959;470.093;0;0;0;0.0;0.0;0.0
4633;liege;;city;liege;walloon region;belgium;5.063.373;556.749;0;0;0;0.0;0.0;0.0
4728;genk;;city;genk;flanders;belgium;50.965;550.082;0;0;0;0.0;0.0;0.0
4838;namur;;city;namur;walloon region;belgium;504.669;486.746;0;0;0;0.0;0.0;0.0
5273;brugge;;city;brugge;flanders;belgium;5.120.892;322.424;0;0;0;0.0;0.0;0.0
