"id";"name";"country";"flow_weighted";"flow";"distance";"avg";"distances_weigthed";"avg"
"7935";"uppsala universitet";"sweden";"55";"23";"191394935";"8321518,949752646";"395939332";"7198896,960185422"
"1092";"colorado school of mines";"united states";"55";"24";"191648212";"7985342,195908312";"400127195";"7275039,926838252"
"999";"loughborough university";"united kingdom";"55";"26";"202386180";"7784083,883511016";"446830341";"8124188,019036112"
"1085";"hokkaido university";"japan";"55";"27";"424306292";"15715047,85830914";"679844711";"12360812,9305506"
"526";"universite paris 13 paris nord campus de villetaneuse";"france";"55";"29";"182001841";"6275925,561555875";"332404612";"6043720,222639383"
"905";"delft university of technology";"netherlands";"55";"29";"217324419";"7493945,498857393";"402521003";"7318563,6973386295"
"1136";"universidad de deusto";"spain";"56";"21";"143131937";"6815806,52771898";"304741169";"5441806,589776377"
"544";"pontificia universidad catolica de chile";"chile";"56";"22";"57702974";"2622862,4587011468";"85141620";"1520386,0759344376"
"976";"universitat politecnica de valencia";"spain";"56";"25";"154253865";"6170154,621519259";"315647190";"5636556,968813421"
"816";"universitat stuttgart";"germany";"56";"26";"207067174";"7964122,096000811";"412350089";"7363394,4582886845"
"7913";"the university of new mexico";"united states";"56";"27";"206376888";"7643588,460832973";"379614512";"6778830,571702401"
"530";"universite de paris iii sorbonne nouvelle";"france";"56";"30";"187457428";"6248580,949593133";"325680415";"5815721,711672894"
"964";"goethe universitat frankfurt am main";"germany";"56";"30";"195646786";"6521559,560688168";"351934283";"6284540,778809316"
"903";"institut national polytechnique de toulouse";"france";"57";"20";"153216130";"7660806,514866278";"400389033";"7024369,000227254"
"1027";"karlsruher institut fur technologie";"germany";"57";"23";"182532202";"7936182,716936972";"445682822";"7818996,893885952"
"616";"king s college london";"united kingdom";"57";"23";"171225028";"7444566,476877553";"476161852";"8353716,718100522"
"733";"university of michigan ann arbor";"united states";"57";"23";"162275255";"7055445,878355556";"319145702";"5599047,416815769"
"1045";"university of leicester";"united kingdom";"57";"24";"173184437";"7216018,237358599";"445822426";"7821446,078868348"
"992";"universidad de alicante";"spain";"57";"28";"190817570";"6814913,241628574";"333657407";"5853638,736088064"
"637";"case western reserve university";"united states";"57";"28";"180570359";"6448941,409944444";"398079582";"6983852,317593644"
"529";"universite de paris viii";"france";"57";"30";"185432711";"6181090,367400131";"294925326";"5174128,536267133"
"948";"oregon state university";"united states";"57";"31";"236934389";"7643044,826959486";"479063692";"8404626,183733774"
